seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13110,726768,1,44730138,80,First Half begins.,,1,0,,0,0,0,2025-02-21 16:47:01,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-02-22 05:51:54
13110,726768,2,44730142,117,Attempt missed. Janner Corozo (Barcelona de Guayaquil) right footed shot from the centre of the box is too high. Assisted by Octavio Rivero with a cross.,Janner Corozo Shot Off Target,1,86,2',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.266,0.487,0.0,0.553,251981.0,Janner Corozo,2025-02-22 05:51:54
13110,726768,2,44730142,117,Attempt missed. Janner Corozo (Barcelona de Guayaquil) right footed shot from the centre of the box is too high. Assisted by Octavio Rivero with a cross.,Janner Corozo Shot Off Target,1,86,2',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.266,0.487,0.0,0.553,180048.0,Octavio Rivero,2025-02-22 05:51:54
13110,726768,3,44730144,66,Janner Corozo (Barcelona de Guayaquil) wins a free kick in the attacking half.,Franklin Carabalí Foul,1,150,3',882,0,0,2025-02-21 16:47:12,0.0,0.0,0.816,0.568,0.0,0.0,255385.0,Franklin Carabalí,2025-02-22 05:51:54
13110,726768,3,44730144,66,Janner Corozo (Barcelona de Guayaquil) wins a free kick in the attacking half.,Franklin Carabalí Foul,1,150,3',882,0,0,2025-02-21 16:47:12,0.0,0.0,0.816,0.568,0.0,0.0,,Janner Corozo,2025-02-22 05:51:54
13110,726768,4,44730145,94,Franklin Carabalí (El Nacional) is shown the yellow card for a bad foul.,Franklin Carabalí Yellow Card,1,153,3',882,0,0,2025-02-21 16:47:12,0.0,0.0,0.0,0.0,0.0,0.0,255385.0,Franklin Carabalí,2025-02-22 05:51:54
13110,726768,5,44730152,95,"Corner, El Nacional. Conceded by Álex Rangel.",Alex Rangel Corner Kick,1,216,4',2686,0,0,2025-02-21 16:46:50,0.0,0.0,0.06,0.167,0.0,0.0,74966.0,Alex Rangel,2025-02-22 05:51:54
13110,726768,6,44730174,135,Attempt blocked. Janner Corozo (Barcelona de Guayaquil) right footed shot from the centre of the box is blocked.,Janner Corozo Shot Blocked,1,290,5',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.306,0.562,0.272,0.558,251981.0,Janner Corozo,2025-02-22 05:51:54
13110,726768,7,44730175,106,Attempt saved. Braian Oyola (Barcelona de Guayaquil) left footed shot from outside the box is saved in the bottom left corner.,Braian Oyola Shot On Target,1,292,5',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.4,0.664,0.05,0.516,265784.0,Braian Oyola,2025-02-22 05:51:54
13110,726768,8,44730178,95,"Corner, Barcelona de Guayaquil. Conceded by David Cabezas.",David Cabezas Corner Kick,1,296,5',882,0,0,2025-02-21 16:46:50,0.0,0.0,0.062,0.354,0.0,0.0,253655.0,David Cabezas,2025-02-22 05:51:54
13110,726768,9,44730180,66,José Cevallos (El Nacional) wins a free kick in the defensive half.,Johnny Raul Quiñonez Foul,1,381,7',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.616,0.658,0.0,0.0,241189.0,Johnny Raul Quiñonez,2025-02-22 05:51:54
13110,726768,9,44730180,66,José Cevallos (El Nacional) wins a free kick in the defensive half.,Johnny Raul Quiñonez Foul,1,381,7',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.616,0.658,0.0,0.0,,Jose Cevallos,2025-02-22 05:51:54
13110,726768,10,44730184,122,Hand ball by Franklin Carabalí (El Nacional).,Franklin Carabalí Handball,1,468,8',882,0,0,2025-02-21 16:47:12,0.0,0.0,0.892,0.958,0.0,0.0,255385.0,Franklin Carabalí,2025-02-22 05:51:54
13110,726768,11,44730197,66,Octavio Rivero (Barcelona de Guayaquil) wins a free kick in the attacking half.,Anthony Bedoya Foul,1,616,11',882,0,0,2025-02-21 16:47:12,0.0,0.0,0.652,0.328,0.0,0.0,208045.0,Anthony Bedoya,2025-02-22 05:51:54
13110,726768,11,44730197,66,Octavio Rivero (Barcelona de Guayaquil) wins a free kick in the attacking half.,Anthony Bedoya Foul,1,616,11',882,0,0,2025-02-21 16:47:12,0.0,0.0,0.652,0.328,0.0,0.0,,Octavio Rivero,2025-02-22 05:51:54
13110,726768,12,44730198,142,Attempt missed. Jhonny Quiñónez (Barcelona de Guayaquil) right footed shot from outside the box misses to the left from a direct free kick.,Johnny Raul Quiñonez Free Kick,1,673,12',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.598,0.425,0.0,0.36,241189.0,Johnny Raul Quiñonez,2025-02-22 05:51:54
13110,726768,13,44730237,117,"Attempt missed. Ángel Ledesma (El Nacional) left footed shot from the centre of the box is close, but misses to the right. Assisted by Jeison Chalá with a cross.",Ángel Ledesma Shot Off Target,1,1101,19',882,0,0,2025-02-21 16:47:01,0.0,0.0,0.29,0.426,0.0,0.0,144900.0,Ángel Ledesma,2025-02-22 05:51:54
13110,726768,13,44730237,117,"Attempt missed. Ángel Ledesma (El Nacional) left footed shot from the centre of the box is close, but misses to the right. Assisted by Jeison Chalá with a cross.",Ángel Ledesma Shot Off Target,1,1101,19',882,0,0,2025-02-21 16:47:01,0.0,0.0,0.29,0.426,0.0,0.0,190615.0,Jeison Chala,2025-02-22 05:51:54
13110,726768,14,44730249,117,Attempt missed. Janner Corozo (Barcelona de Guayaquil) right footed shot from the centre of the box is too high following a fast break.,Janner Corozo Shot Off Target,1,1169,20',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.314,0.518,0.0,0.482,251981.0,Janner Corozo,2025-02-22 05:51:54
13110,726768,14,44730249,117,Attempt missed. Janner Corozo (Barcelona de Guayaquil) right footed shot from the centre of the box is too high following a fast break.,Janner Corozo Shot Off Target,1,1169,20',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.314,0.518,0.0,0.482,180048.0,Octavio Rivero,2025-02-22 05:51:54
13110,726768,15,44730259,68,"Offside, Barcelona de Guayaquil. Janner Corozo is caught offside.",Johnny Raul Quiñonez Offside,1,1295,22',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.672,0.235,0.374,0.18,241189.0,Johnny Raul Quiñonez,2025-02-22 05:51:54
13110,726768,16,44730265,66,Marcos Olmedo (El Nacional) wins a free kick in the defensive half.,Janner Corozo Foul,1,1386,24',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.54,0.609,0.0,0.0,251981.0,Janner Corozo,2025-02-22 05:51:54
13110,726768,16,44730265,66,Marcos Olmedo (El Nacional) wins a free kick in the defensive half.,Janner Corozo Foul,1,1386,24',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.54,0.609,0.0,0.0,,Marcos Olmedo,2025-02-22 05:51:54
13110,726768,17,44730284,66,Foul by Leonai (Barcelona de Guayaquil).,Leonai Foul,1,1501,26',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.732,0.25,0.0,0.0,302625.0,Leonai,2025-02-22 05:51:54
13110,726768,17,44730284,66,Foul by Leonai (Barcelona de Guayaquil).,Leonai Foul,1,1501,26',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.732,0.25,0.0,0.0,,Fidel Martínez,2025-02-22 05:51:54
13110,726768,18,44730376,66,Franklin Carabalí (El Nacional) wins a free kick in the defensive half.,Janner Corozo Foul,1,2335,39',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.464,0.5,0.0,0.0,251981.0,Janner Corozo,2025-02-22 05:51:54
13110,726768,18,44730376,66,Franklin Carabalí (El Nacional) wins a free kick in the defensive half.,Janner Corozo Foul,1,2335,39',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.464,0.5,0.0,0.0,,Franklin Carabalí,2025-02-22 05:51:54
13110,726768,19,44730409,66,Marcos Olmedo (El Nacional) wins a free kick in the attacking half.,Dixon Arroyo Foul,1,2537,43',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.788,0.566,0.0,0.0,144821.0,Dixon Arroyo,2025-02-22 05:51:54
13110,726768,19,44730409,66,Marcos Olmedo (El Nacional) wins a free kick in the attacking half.,Dixon Arroyo Foul,1,2537,43',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.788,0.566,0.0,0.0,,Marcos Olmedo,2025-02-22 05:51:54
13110,726768,20,44730423,94,Dixon Arroyo (Barcelona de Guayaquil) is shown the yellow card for a bad foul.,Dixon Arroyo Yellow Card,1,2539,43',2686,0,0,2025-02-21 16:47:12,0.0,0.0,0.0,0.0,0.0,0.0,144821.0,Dixon Arroyo,2025-02-22 05:51:54
13110,726768,21,44730426,95,"Corner, El Nacional. Conceded by Gustavo Vallecilla.",Jeison Chala Corner Kick,1,2625,44',882,0,0,2025-02-21 16:47:12,0.0,0.0,0.044,0.88,0.0,0.0,190615.0,Jeison Chala,2025-02-22 05:51:54
13110,726768,22,44730632,82,"Second Half begins El Nacional 0, Barcelona de Guayaquil 0.",,2,2700,45',0,0,0,2025-02-21 16:47:01,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-02-22 05:51:54
13110,726768,23,44730635,66,Janner Corozo (Barcelona de Guayaquil) wins a free kick on the left wing.,Franklin Carabalí Foul,2,2829,48',882,0,0,2025-02-21 16:47:12,0.0,0.0,0.404,0.11,0.0,0.0,255385.0,Franklin Carabalí,2025-02-22 05:51:54
13110,726768,23,44730635,66,Janner Corozo (Barcelona de Guayaquil) wins a free kick on the left wing.,Franklin Carabalí Foul,2,2829,48',882,0,0,2025-02-21 16:47:12,0.0,0.0,0.404,0.11,0.0,0.0,,Janner Corozo,2025-02-22 05:51:54
13110,726768,24,44730664,135,Attempt blocked. Jawer Guisamano (El Nacional) right footed shot from the right side of the box is blocked. Assisted by José Cevallos.,Jawer Guisamano Shot Blocked,2,2904,49',882,0,0,2025-02-21 16:47:12,0.0,0.0,0.136,0.667,0.11,0.644,388380.0,Jawer Guisamano,2025-02-22 05:51:54
13110,726768,24,44730664,135,Attempt blocked. Jawer Guisamano (El Nacional) right footed shot from the right side of the box is blocked. Assisted by José Cevallos.,Jawer Guisamano Shot Blocked,2,2904,49',882,0,0,2025-02-21 16:47:12,0.0,0.0,0.136,0.667,0.11,0.644,32687.0,Jose Cevallos,2025-02-22 05:51:54
13110,726768,25,44730694,135,Attempt blocked. José Cevallos (El Nacional) right footed shot from outside the box is blocked. Assisted by Jawer Guisamano.,Jose Cevallos Shot Blocked,2,3062,52',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.406,0.65,0.188,0.565,32687.0,Jose Cevallos,2025-02-22 05:51:54
13110,726768,25,44730694,135,Attempt blocked. José Cevallos (El Nacional) right footed shot from outside the box is blocked. Assisted by Jawer Guisamano.,Jose Cevallos Shot Blocked,2,3062,52',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.406,0.65,0.188,0.565,388380.0,Jawer Guisamano,2025-02-22 05:51:54
13110,726768,26,44730698,135,Attempt blocked. Jawer Guisamano (El Nacional) left footed shot from outside the box is blocked. Assisted by Marcos Olmedo.,Jawer Guisamano Shot Blocked,2,3079,52',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.37,0.673,0.198,0.567,388380.0,Jawer Guisamano,2025-02-22 05:51:54
13110,726768,26,44730698,135,Attempt blocked. Jawer Guisamano (El Nacional) left footed shot from outside the box is blocked. Assisted by Marcos Olmedo.,Jawer Guisamano Shot Blocked,2,3079,52',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.37,0.673,0.198,0.567,302170.0,Marcos Olmedo,2025-02-22 05:51:54
13110,726768,27,44730699,117,"Attempt missed. Octavio Rivero (Barcelona de Guayaquil) right footed shot from the right side of the box is close, but misses to the right. Assisted by Braian Oyola with a through ball.",Octavio Rivero Shot Off Target,2,3151,53',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.252,0.662,0.0,0.588,180048.0,Octavio Rivero,2025-02-22 05:51:54
13110,726768,27,44730699,117,"Attempt missed. Octavio Rivero (Barcelona de Guayaquil) right footed shot from the right side of the box is close, but misses to the right. Assisted by Braian Oyola with a through ball.",Octavio Rivero Shot Off Target,2,3151,53',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.252,0.662,0.0,0.588,265784.0,Braian Oyola,2025-02-22 05:51:54
13110,726768,28,44730732,76,"Substitution, El Nacional. Rommel Cabezas replaces Franklin Carabalí.",Rommel Cabezas Substitution,2,3189,54',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.0,0.0,0.0,314924.0,Rommel Cabezas,2025-02-22 05:51:54
13110,726768,28,44730732,76,"Substitution, El Nacional. Rommel Cabezas replaces Franklin Carabalí.",Rommel Cabezas Substitution,2,3189,54',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.0,0.0,0.0,255385.0,Franklin Carabalí,2025-02-22 05:51:54
13110,726768,29,44730733,76,"Substitution, Barcelona de Guayaquil. Byron Castillo replaces Braian Oyola.",Byron Castillo Substitution,2,3241,55',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.0,0.0,0.0,228491.0,Byron Castillo,2025-02-22 05:51:54
13110,726768,29,44730733,76,"Substitution, Barcelona de Guayaquil. Byron Castillo replaces Braian Oyola.",Byron Castillo Substitution,2,3241,55',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.0,0.0,0.0,265784.0,Braian Oyola,2025-02-22 05:51:54
13110,726768,30,44730750,66,Foul by Mario Pineida (Barcelona de Guayaquil).,Mario Pineida Foul,2,3349,56',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.448,0.736,0.0,0.0,144862.0,Mario Pineida,2025-02-22 05:51:54
13110,726768,30,44730750,66,Foul by Mario Pineida (Barcelona de Guayaquil).,Mario Pineida Foul,2,3349,56',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.448,0.736,0.0,0.0,,Fidel Martínez,2025-02-22 05:51:54
13110,726768,31,44730761,135,Attempt blocked. Fidel Martínez (El Nacional) left footed shot from outside the box is blocked.,Fidel Martínez Shot Blocked,2,3416,57',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.448,0.722,0.282,0.632,130615.0,Fidel Martínez,2025-02-22 05:51:54
13110,726768,32,44730786,66,Octavio Rivero (Barcelona de Guayaquil) wins a free kick in the defensive half.,Anthony Bedoya Foul,2,3573,60',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.808,0.288,0.0,0.0,208045.0,Anthony Bedoya,2025-02-22 05:51:54
13110,726768,32,44730786,66,Octavio Rivero (Barcelona de Guayaquil) wins a free kick in the defensive half.,Anthony Bedoya Foul,2,3573,60',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.808,0.288,0.0,0.0,,Octavio Rivero,2025-02-22 05:51:54
13110,726768,33,44730789,117,Attempt missed. Fidel Martínez (El Nacional) left footed shot from the centre of the box misses to the right. Assisted by José Cevallos.,Fidel Martínez Shot Off Target,2,3611,61',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.238,0.378,0.0,0.672,130615.0,Fidel Martínez,2025-02-22 05:51:54
13110,726768,33,44730789,117,Attempt missed. Fidel Martínez (El Nacional) left footed shot from the centre of the box misses to the right. Assisted by José Cevallos.,Fidel Martínez Shot Off Target,2,3611,61',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.238,0.378,0.0,0.672,32687.0,Jose Cevallos,2025-02-22 05:51:54
13110,726768,34,44730909,66,Jhonny Quiñónez (Barcelona de Guayaquil) wins a free kick in the defensive half.,Rommel Cabezas Foul,2,3661,62',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.796,0.894,0.0,0.0,314924.0,Rommel Cabezas,2025-02-22 05:51:54
13110,726768,34,44730909,66,Jhonny Quiñónez (Barcelona de Guayaquil) wins a free kick in the defensive half.,Rommel Cabezas Foul,2,3661,62',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.796,0.894,0.0,0.0,,Johnny Raul Quiñonez,2025-02-22 05:51:54
13110,726768,35,44730813,94,Rommel Cabezas (El Nacional) is shown the yellow card for a bad foul.,Rommel Cabezas Yellow Card,2,3667,62',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.0,0.0,0.0,314924.0,Rommel Cabezas,2025-02-22 05:51:54
13110,726768,36,44730824,117,Attempt missed. Byron Castillo (Barcelona de Guayaquil) right footed shot from outside the box is high and wide to the right. Assisted by Dixon Arroyo.,Byron Castillo Shot Off Target,2,3836,64',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.62,0.673,0.0,0.617,228491.0,Byron Castillo,2025-02-22 05:51:54
13110,726768,36,44730824,117,Attempt missed. Byron Castillo (Barcelona de Guayaquil) right footed shot from outside the box is high and wide to the right. Assisted by Dixon Arroyo.,Byron Castillo Shot Off Target,2,3836,64',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.62,0.673,0.0,0.617,144821.0,Dixon Arroyo,2025-02-22 05:51:54
13110,726768,37,44730861,76,"Substitution, El Nacional. Jonathan Borja replaces Jeison Chalá.",Jonathan Borja Substitution,2,3908,66',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.0,0.0,0.0,34150.0,Jonathan Borja,2025-02-22 05:51:54
13110,726768,37,44730861,76,"Substitution, El Nacional. Jonathan Borja replaces Jeison Chalá.",Jonathan Borja Substitution,2,3908,66',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.0,0.0,0.0,190615.0,Jeison Chala,2025-02-22 05:51:54
13110,726768,38,44730862,76,"Substitution, El Nacional. Jhon Cifuente replaces José Cevallos.",Jhon Cifuente Substitution,2,3922,66',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.0,0.0,0.0,241243.0,Jhon Cifuente,2025-02-22 05:51:54
13110,726768,38,44730862,76,"Substitution, El Nacional. Jhon Cifuente replaces José Cevallos.",Jhon Cifuente Substitution,2,3922,66',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.0,0.0,0.0,32687.0,Jose Cevallos,2025-02-22 05:51:54
13110,726768,39,44730865,117,Attempt missed. Jhon Cifuente (El Nacional) header from the centre of the box is too high. Assisted by Jonathan Borja.,Jhon Cifuente Shot Off Target,2,3994,67',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.152,0.464,0.0,0.476,241243.0,Jhon Cifuente,2025-02-22 05:51:54
13110,726768,39,44730865,117,Attempt missed. Jhon Cifuente (El Nacional) header from the centre of the box is too high. Assisted by Jonathan Borja.,Jhon Cifuente Shot Off Target,2,3994,67',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.152,0.464,0.0,0.476,34150.0,Jonathan Borja,2025-02-22 05:51:54
13110,726768,40,44730867,66,Jawer Guisamano (El Nacional) wins a free kick in the defensive half.,Mario Pineida Foul,2,4049,68',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.688,0.072,0.0,0.0,144862.0,Mario Pineida,2025-02-22 05:51:54
13110,726768,40,44730867,66,Jawer Guisamano (El Nacional) wins a free kick in the defensive half.,Mario Pineida Foul,2,4049,68',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.688,0.072,0.0,0.0,,Jawer Guisamano,2025-02-22 05:51:54
13110,726768,41,44730869,68,"Offside, El Nacional. Ángel Ledesma is caught offside.",David Cabezas Offside,2,4079,68',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.58,0.476,0.616,0.609,253655.0,David Cabezas,2025-02-22 05:51:54
13110,726768,42,44730879,76,"Substitution, Barcelona de Guayaquil. Joaquín Valiente replaces Leonai.",Joaquín Valiente Substitution,2,4162,70',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.0,0.0,0.0,359922.0,Joaquín Valiente,2025-02-22 05:51:54
13110,726768,42,44730879,76,"Substitution, Barcelona de Guayaquil. Joaquín Valiente replaces Leonai.",Joaquín Valiente Substitution,2,4162,70',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.0,0.0,0.0,302625.0,Leonai,2025-02-22 05:51:54
13110,726768,43,44730881,66,Foul by Eddy Mejía (El Nacional).,Eddy Mejía Foul,2,4216,71',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.712,0.867,0.0,0.0,302172.0,Eddy Mejía,2025-02-22 05:51:54
13110,726768,43,44730881,66,Foul by Eddy Mejía (El Nacional).,Eddy Mejía Foul,2,4216,71',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.712,0.867,0.0,0.0,,Byron Castillo,2025-02-22 05:51:54
13110,726768,44,44730885,66,Octavio Rivero (Barcelona de Guayaquil) wins a free kick in the attacking half.,Marcos Olmedo Foul,2,4353,73',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.63,0.482,0.0,0.0,302170.0,Marcos Olmedo,2025-02-22 05:51:54
13110,726768,44,44730885,66,Octavio Rivero (Barcelona de Guayaquil) wins a free kick in the attacking half.,Marcos Olmedo Foul,2,4353,73',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.63,0.482,0.0,0.0,,Octavio Rivero,2025-02-22 05:51:54
13110,726768,45,44730911,117,Attempt missed. Jonathan Borja (El Nacional) right footed shot from outside the box misses to the left.,Jonathan Borja Shot Off Target,2,4470,75',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.564,0.724,0.45,0.643,34150.0,Jonathan Borja,2025-02-22 05:51:54
13110,726768,46,44730912,66,Foul by José Flor (El Nacional).,José Flor Foul,2,4490,75',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.408,0.892,0.0,0.0,228489.0,José Flor,2025-02-22 05:51:54
13110,726768,46,44730912,66,Foul by José Flor (El Nacional).,José Flor Foul,2,4490,75',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.408,0.892,0.0,0.0,,Byron Castillo,2025-02-22 05:51:54
13110,726768,47,44730913,94,José Flor (El Nacional) is shown the yellow card for a bad foul.,José Flor Yellow Card,2,4497,75',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.0,0.0,0.0,228489.0,José Flor,2025-02-22 05:51:54
13110,726768,48,44730930,76,"Substitution, El Nacional. Charles Vélez replaces Ángel Ledesma.",Charles Vélez Substitution,2,4650,78',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.0,0.0,0.0,145626.0,Charles Vélez,2025-02-22 05:51:54
13110,726768,48,44730930,76,"Substitution, El Nacional. Charles Vélez replaces Ángel Ledesma.",Charles Vélez Substitution,2,4650,78',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.0,0.0,0.0,144900.0,Ángel Ledesma,2025-02-22 05:51:54
13110,726768,49,44730929,76,"Substitution, El Nacional. Darío Pazmiño replaces Marcos Olmedo.",Darío Pazmiño Substitution,2,4652,78',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.0,0.0,0.0,302189.0,Darío Pazmiño,2025-02-22 05:51:54
13110,726768,49,44730929,76,"Substitution, El Nacional. Darío Pazmiño replaces Marcos Olmedo.",Darío Pazmiño Substitution,2,4652,78',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.0,0.0,0.0,302170.0,Marcos Olmedo,2025-02-22 05:51:54
13110,726768,50,44730940,97,"Own Goal by Charles Vélez, El Nacional. El Nacional 0, Barcelona de Guayaquil 1.",Charles Vélez Own Goal,2,4675,78',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.152,0.578,0.0,0.53,,Charles Vélez,2025-02-22 05:51:54
13110,726768,51,44730950,135,Attempt blocked. Jhon Cifuente (El Nacional) right footed shot from a difficult angle on the right is blocked. Assisted by Jawer Guisamano.,Jhon Cifuente Shot Blocked,2,4880,82',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.084,0.726,0.072,0.697,241243.0,Jhon Cifuente,2025-02-22 05:51:54
13110,726768,51,44730950,135,Attempt blocked. Jhon Cifuente (El Nacional) right footed shot from a difficult angle on the right is blocked. Assisted by Jawer Guisamano.,Jhon Cifuente Shot Blocked,2,4880,82',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.084,0.726,0.072,0.697,388380.0,Jawer Guisamano,2025-02-22 05:51:54
13110,726768,52,44730961,95,"Corner, El Nacional. Conceded by Gustavo Vallecilla.",Jhon Cifuente Corner Kick,2,4882,82',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.536,0.0,0.0,241243.0,Jhon Cifuente,2025-02-22 05:51:54
13110,726768,53,44730963,135,Attempt blocked. Jhonny Quiñónez (Barcelona de Guayaquil) left footed shot from the centre of the box is blocked. Assisted by Octavio Rivero with a headed pass.,Johnny Raul Quiñonez Shot Blocke,2,4920,82',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.176,0.501,0.142,0.502,241189.0,Johnny Raul Quiñonez,2025-02-22 05:51:54
13110,726768,53,44730963,135,Attempt blocked. Jhonny Quiñónez (Barcelona de Guayaquil) left footed shot from the centre of the box is blocked. Assisted by Octavio Rivero with a headed pass.,Johnny Raul Quiñonez Shot Blocke,2,4920,82',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.176,0.501,0.142,0.502,180048.0,Octavio Rivero,2025-02-22 05:51:54
13110,726768,54,44730965,135,Attempt blocked. Joaquín Valiente (Barcelona de Guayaquil) right footed shot from the centre of the box is blocked.,Joaquín Valiente Shot Blocked,2,4922,83',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.172,0.483,0.082,0.491,359922.0,Joaquín Valiente,2025-02-22 05:51:54
13110,726768,55,44730967,135,Attempt blocked. Darío Pazmiño (El Nacional) right footed shot from outside the box is blocked. Assisted by Jhon Cifuente.,Darío Pazmiño Shot Blocked,2,4981,84',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.43,0.521,0.386,0.52,302189.0,Darío Pazmiño,2025-02-22 05:51:54
13110,726768,55,44730967,135,Attempt blocked. Darío Pazmiño (El Nacional) right footed shot from outside the box is blocked. Assisted by Jhon Cifuente.,Darío Pazmiño Shot Blocked,2,4981,84',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.43,0.521,0.386,0.52,241243.0,Jhon Cifuente,2025-02-22 05:51:54
13110,726768,56,44730969,66,Jawer Guisamano (El Nacional) wins a free kick on the right wing.,Mario Pineida Foul,2,4994,84',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.48,0.913,0.0,0.0,144862.0,Mario Pineida,2025-02-22 05:51:54
13110,726768,56,44730969,66,Jawer Guisamano (El Nacional) wins a free kick on the right wing.,Mario Pineida Foul,2,4994,84',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.48,0.913,0.0,0.0,,Jawer Guisamano,2025-02-22 05:51:54
13110,726768,57,44731000,117,Attempt missed. Eddy Mejía (El Nacional) left footed shot from the centre of the box misses to the left. Assisted by Jawer Guisamano with a cross.,Eddy Mejía Shot Off Target,2,5125,86',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.238,0.374,0.0,0.402,302172.0,Eddy Mejía,2025-02-22 05:51:54
13110,726768,57,44731000,117,Attempt missed. Eddy Mejía (El Nacional) left footed shot from the centre of the box misses to the left. Assisted by Jawer Guisamano with a cross.,Eddy Mejía Shot Off Target,2,5125,86',882,0,0,2025-02-21 16:47:13,0.0,0.0,0.238,0.374,0.0,0.402,388380.0,Jawer Guisamano,2025-02-22 05:51:54
13110,726768,58,44731001,76,"Substitution, Barcelona de Guayaquil. Gabriel Cortéz replaces Janner Corozo.",Gabriel Cortez Substitution,2,5160,86',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.0,0.0,0.0,159158.0,Gabriel Cortez,2025-02-22 05:51:54
13110,726768,58,44731001,76,"Substitution, Barcelona de Guayaquil. Gabriel Cortéz replaces Janner Corozo.",Gabriel Cortez Substitution,2,5160,86',2686,0,0,2025-02-21 16:47:13,0.0,0.0,0.0,0.0,0.0,0.0,251981.0,Janner Corozo,2025-02-22 05:51:54
